date,balance,level
2026-04-06,5150.0,5000
2026-04-08,5300.0,5000
2026-04-09,5250.0,5000
2026-04-13,5400.0,5000
2026-04-15,5350.0,5000
2026-04-16,5450.0,5000
2026-04-20,5400.0,5000
2026-04-22,5350.0,5000
2026-04-23,5450.0,5000
2026-04-27,5600.0,5000
2026-04-29,4950.0,5000
2026-04-30,4900.0,5000
2026-05-04,4850.0,5000
2026-05-06,5000.0,5000
2026-05-07,4950.0,5000
2026-05-11,5100.0,5000
2026-05-13,5250.0,5000
2026-05-14,5350.0,5000
2026-05-18,5300.0,5000
2026-05-20,5250.0,5000
2026-05-21,5350.0,5000
2026-05-25,5500.0,5000
2026-05-27,5450.0,5000
2026-05-28,5550.0,5000
2026-06-01,5500.0,5000
2026-06-03,5450.0,5000
2026-06-04,5550.0,5000
2026-06-08,5500.0,5000
2026-06-10,5650.0,5000
2026-06-11,5100.0,5000
2026-06-15,5050.0,5000
2026-06-17,5000.0,5000
2026-06-18,4950.0,5000
2026-06-22,5100.0,5000
2026-06-24,5050.0,5000
2026-06-25,5150.0,5000
2026-06-29,5100.0,5000
2026-07-01,5050.0,5000
2026-07-02,5000.0,5000
2026-07-06,5150.0,5000
2026-07-08,5100.0,5000
2026-07-09,5200.0,5000
2026-07-13,5350.0,5000
2026-07-15,5500.0,5000
2026-07-16,5450.0,5000
2026-07-20,5400.0,5000
2026-07-22,5350.0,5000
2026-07-23,5450.0,5000
2026-07-27,5600.0,5000
2026-07-29,7425.0,7500
2026-07-30,7575.0,7500
2026-08-03,7800.0,7500
2026-08-05,7725.0,7500
2026-08-06,7875.0,7500
2026-08-10,7800.0,7500
2026-08-12,8025.0,7500
2026-08-13,7950.0,7500
2026-08-17,7875.0,7500
2026-08-19,8100.0,7500
2026-08-20,8025.0,7500
2026-08-24,7950.0,7500
2026-08-26,8175.0,7500
2026-08-27,8100.0,7500
2026-08-31,8325.0,7500
2026-09-02,8550.0,7500
2026-09-03,7650.0,7500
2026-09-07,7575.0,7500
