date,balance,level
2026-06-10,5150.0,5000
2026-06-11,5250.0,5000
2026-06-15,5200.0,5000
2026-06-17,5150.0,5000
2026-06-18,5100.0,5000
2026-06-22,5250.0,5000
2026-06-24,5200.0,5000
2026-06-25,5300.0,5000
2026-06-29,5250.0,5000
2026-07-01,5200.0,5000
2026-07-02,5150.0,5000
2026-07-06,5300.0,5000
2026-07-08,5250.0,5000
2026-07-09,5350.0,5000
2026-07-13,5500.0,5000
2026-07-15,5650.0,5000
2026-07-16,4950.0,5000
2026-07-20,4900.0,5000
2026-07-22,4850.0,5000
2026-07-23,4950.0,5000
2026-07-27,5100.0,5000
2026-07-29,5050.0,5000
2026-07-30,5150.0,5000
2026-08-03,5300.0,5000
2026-08-05,5250.0,5000
2026-08-06,5350.0,5000
2026-08-10,5300.0,5000
2026-08-12,5450.0,5000
2026-08-13,5400.0,5000
2026-08-17,5350.0,5000
2026-08-19,5500.0,5000
2026-08-20,5450.0,5000
2026-08-24,5400.0,5000
2026-08-26,5550.0,5000
2026-08-27,5500.0,5000
2026-08-31,5650.0,5000
2026-09-02,5150.0,5000
2026-09-03,5250.0,5000
2026-09-07,5200.0,5000
