date,day_of_week,pair,orb_time_gmt,orb_time_ist,entry_mode,rr_ratio,expected_wr,direction,orb_high,orb_low,orb_range_pips,break_time,entry_time,entry_price,sl_price,tp_price,risk_pips,result,pnl_pips,exit_time,exit_price,exit_reason
2025-12-31,Wednesday,GBPUSD,15:00,08:30 PM,15min,3.0,61.5,SHORT,1.34333,1.34189,14.4,2025-12-31 15:05:00,2025-12-31 15:30:00,1.34189,1.34353,1.33697,16.4,LOSS,-16.4,2025-12-31 15:50:00,1.34353,SL Hit
2026-01-02,Friday,USDCAD,16:00,09:30 PM,15min,2.5,63.0,LONG,1.3733,1.37229,10.1,2026-01-02 16:45:00,2026-01-02 17:15:00,1.3733,1.37209,1.37632,12.1,LOSS,-2.3,2026-01-02 21:45:00,1.37307,EOD Close
2026-01-05,Monday,USDCAD,15:45,09:15 PM,15min,3.0,61.5,LONG,1.37541,1.37447,9.4,2026-01-05 16:15:00,2026-01-05 16:30:00,1.37541,1.37427,1.37883,11.4,WIN,18.8,2026-01-05 23:45:00,1.37729,EOD Close
2026-01-07,Wednesday,GBPUSD,15:00,08:30 PM,15min,3.0,61.5,SHORT,1.3501,1.34846,16.4,2026-01-07 15:10:00,2026-01-07 15:25:00,1.34846,1.3503,1.34294,18.4,WIN,26.5,2026-01-07 23:55:00,1.34581,EOD Close
2026-01-08,Thursday,USDCAD,11:15,04:45 PM,15min,2.0,72.7,SHORT,1.38696,1.38657,3.9,2026-01-08 11:45:00,2026-01-08 12:00:00,1.38657,1.38716,1.38539,5.9,WIN,11.8,2026-01-08 13:15:00,1.3853900000000003,TP Hit
2026-01-08,Thursday,EURUSD,11:30,05:00 PM,5min,2.0,66.7,SHORT,1.16779,1.16749,3.0,2026-01-08 12:00:00,2026-01-08 13:00:00,1.16749,1.16799,1.16649,5.0,WIN,10.0,2026-01-08 13:45:00,1.1664899999999996,TP Hit
2026-01-08,Thursday,GBPUSD,03:45,09:15 AM,15min,2.0,63.6,SHORT,1.3464,1.34608,3.2,2026-01-08 04:00:00,2026-01-08 04:05:00,1.34608,1.3466,1.34504,5.2,WIN,10.4,2026-01-08 07:15:00,1.3450399999999998,TP Hit
2026-01-12,Monday,USDCAD,15:45,09:15 PM,15min,3.0,61.5,LONG,1.38737,1.38684,5.3,2026-01-12 16:45:00,2026-01-12 17:00:00,1.38737,1.38664,1.38956,7.3,WIN,2.3,2026-01-12 23:45:00,1.3876,EOD Close
2026-01-14,Wednesday,GBPUSD,15:00,08:30 PM,15min,3.0,61.5,LONG,1.34556,1.34505,5.1,2026-01-14 15:05:00,2026-01-14 15:10:00,1.34556,1.34485,1.34769,7.1,LOSS,-7.1,2026-01-14 15:30:00,1.34485,SL Hit
2026-01-15,Thursday,USDCAD,11:15,04:45 PM,15min,2.0,72.7,LONG,1.39017,1.38979,3.8,2026-01-15 12:45:00,2026-01-15 13:00:00,1.39017,1.38959,1.39133,5.8,WIN,11.6,2026-01-15 14:00:00,1.3913299999999995,TP Hit
2026-01-15,Thursday,EURUSD,11:30,05:00 PM,5min,2.0,66.7,SHORT,1.16361,1.1632,4.1,2026-01-15 11:45:00,2026-01-15 12:00:00,1.1632,1.16381,1.16198,6.1,WIN,12.2,2026-01-15 13:00:00,1.16198,TP Hit
