date,balance,level
2026-02-25,5097.6648351648355,5000
2026-02-26,5022.6648351648355,5000
2026-03-04,4947.6648351648355,5000
2026-03-05,4872.6648351648355,5000
2026-03-11,4994.434498086184,5000
2026-03-12,5144.434498086184,5000
2026-03-18,5069.434498086184,5000
2026-03-19,4994.434498086184,5000
2026-03-25,5007.515893435021,5000
2026-03-26,4932.515893435021,5000
2026-04-01,4857.515893435021,5000
2026-04-02,5007.515893435021,5000
2026-04-08,5114.703393435021,5000
2026-04-09,5039.703393435021,5000
2026-04-15,4964.703393435021,5000
2026-04-16,4968.453393435021,5000
2026-04-22,4928.857120143096,5000
2026-04-23,5078.857120143096,5000
2026-04-29,5075.306824285108,5000
2026-04-30,5000.306824285108,5000
2026-05-06,5000.80351302683,5000
2026-05-07,4925.80351302683,5000
2026-05-13,4929.577097932491,5000
2026-05-14,5079.577097932491,5000
2026-05-20,5045.132653488046,5000
2026-05-21,5195.132653488046,5000
2026-05-27,5120.132653488046,5000
2026-05-28,5270.132653488046,5000
2026-06-03,5195.132653488046,5000
2026-06-04,5345.132653488046,5000
2026-06-10,5000.0,5000
2026-06-11,5150.0,5000
2026-06-17,5075.0,5000
2026-06-18,5000.0,5000
2026-06-24,4992.596566523605,5000
2026-06-25,5142.596566523605,5000
2026-07-01,5114.984626225098,5000
2026-07-02,5039.984626225098,5000
2026-07-08,4964.984626225098,5000
2026-07-09,4992.0464818952005,5000
2026-07-15,5000.0,5000
2026-07-16,4925.0,5000
2026-07-22,4890.748031496063,5000
2026-07-23,4917.267368512637,5000
2026-07-29,4842.267368512637,5000
2026-07-30,4992.267368512637,5000
2026-08-05,4986.758893936366,5000
2026-08-06,5136.758893936366,5000
2026-08-12,5161.980132874419,5000
2026-08-13,5086.980132874419,5000
2026-08-19,5109.294182461195,5000
2026-08-20,5104.606682461195,5000
2026-08-26,5108.519725939456,5000
2026-08-27,5033.519725939456,5000
2026-09-02,5091.109011653742,5000
2026-09-03,7500.0,7500
