date,balance,level
2025-09-03,4970.560747663551,5000
2025-09-04,4895.560747663551,5000
2025-09-10,4982.402852926709,5000
2025-09-11,4907.402852926709,5000
2025-09-17,5132.402852926709,5000
2025-09-18,5282.402852926709,5000
2025-09-24,5256.179076702932,5000
2025-09-25,5000.0,5000
2025-10-01,4994.331395348837,5000
2025-10-02,4919.331395348837,5000
2025-10-08,4959.301455229076,5000
2025-10-09,5109.301455229076,5000
2025-10-15,5125.432740145277,5000
2025-10-16,5000.0,5000
2025-10-22,4925.0,5000
2025-10-23,5075.0,5000
2025-10-29,5000.0,5000
2025-10-30,5150.0,5000
2025-11-05,5165.625,5000
2025-11-06,7500.0,7500
2025-11-12,7609.722222222223,7500
2025-11-13,7497.222222222223,7500
2025-11-19,7542.28270609319,7500
2025-11-20,7429.78270609319,7500
2025-11-26,7496.93114359319,7500
2025-11-27,7500.0,7500
2025-12-03,7641.044776119403,7500
2025-12-04,7528.544776119403,7500
2025-12-10,7416.044776119403,7500
2025-12-11,7303.544776119403,7500
2025-12-17,7283.718956447272,7500
2025-12-18,7171.218956447272,7500
2025-12-24,7169.718956447272,7500
2025-12-31,7227.951335301897,7500
2026-01-07,7340.953567444754,7500
2026-01-08,7565.953567444754,7500
2026-01-14,7659.117629944754,7500
2026-01-15,7500.0,7500
2026-01-21,7569.101123595506,7500
2026-01-22,7794.101123595506,7500
2026-01-28,7834.992427943332,7500
2026-01-29,7722.492427943332,7500
2026-02-04,7850.929927943332,7500
2026-02-05,10000.0,10000
2026-02-11,10170.138888888889,10000
2026-02-12,10020.138888888889,10000
2026-02-18,10307.515126512651,10000
2026-02-19,10607.515126512651,10000
2026-02-25,10802.844796842322,10000
2026-02-26,10000.0,10000
2026-03-04,9850.0,10000
2026-03-05,9700.0,10000
2026-03-11,9943.539325842696,10000
2026-03-12,10243.539325842696,10000
2026-03-18,10093.539325842696,10000
2026-03-19,9943.539325842696,10000
2026-03-25,9969.70211654037,10000
2026-03-26,9819.70211654037,10000
2026-04-01,9669.70211654037,10000
2026-04-02,9969.70211654037,10000
2026-04-08,10000.0,10000
2026-04-09,9850.0,10000
2026-04-15,9700.0,10000
2026-04-16,9707.5,10000
2026-04-22,9628.30745341615,10000
2026-04-23,9928.30745341615,10000
2026-04-29,9921.206861700173,10000
2026-04-30,9771.206861700173,10000
2026-05-06,9772.200239183618,10000
2026-05-07,9622.200239183618,10000
2026-05-13,9629.74740899494,10000
2026-05-14,9929.74740899494,10000
2026-05-20,9860.85852010605,10000
2026-05-21,10160.85852010605,10000
2026-05-27,10010.85852010605,10000
2026-05-28,25000.0,25000
2026-06-03,24625.0,25000
2026-06-04,25375.0,25000
2026-06-10,26024.553571428572,25000
2026-06-11,26774.553571428572,25000
2026-06-17,26399.553571428572,25000
2026-06-18,25000.0,25000
2026-06-24,24962.982832618025,25000
2026-06-25,25712.982832618025,25000
2026-07-01,25574.923131125488,25000
2026-07-02,25199.923131125488,25000
2026-07-08,24824.923131125488,25000
2026-07-09,24960.232409476004,25000
2026-07-15,25000.0,25000
2026-07-16,24625.0,25000
2026-07-22,24453.740157480315,25000
2026-07-23,24586.33684256319,25000
2026-07-29,24211.33684256319,25000
2026-07-30,24961.33684256319,25000
2026-08-05,24933.794469681834,25000
2026-08-06,60000.0,60000
2026-08-12,60302.654867256635,60000
2026-08-13,59402.654867256635,60000
2026-08-19,59670.42346229796,60000
2026-08-20,59614.17346229796,60000
2026-08-26,59661.129984037085,60000
2026-08-27,58761.129984037085,60000
2026-09-02,59452.20141260851,60000
2026-09-03,60000.0,60000
