date,balance,level
2026-02-04,5085.625,5000
2026-02-05,5010.625,5000
2026-02-11,5095.694444444444,5000
2026-02-12,5020.694444444444,5000
2026-02-18,5164.382563256326,5000
2026-02-19,5314.382563256326,5000
2026-02-25,5412.047398421161,5000
2026-02-26,5337.047398421161,5000
2026-03-04,5262.047398421161,5000
2026-03-05,5187.047398421161,5000
2026-03-11,5308.81706134251,5000
2026-03-12,5458.81706134251,5000
2026-03-18,5383.81706134251,5000
2026-03-19,5308.81706134251,5000
2026-03-25,5321.898456691347,5000
2026-03-26,5246.898456691347,5000
2026-04-01,5171.898456691347,5000
2026-04-02,5321.898456691347,5000
2026-04-08,5429.085956691347,5000
2026-04-09,5354.085956691347,5000
2026-04-15,5279.085956691347,5000
2026-04-16,5282.835956691347,5000
2026-04-22,5243.239683399422,5000
2026-04-23,5393.239683399422,5000
2026-04-29,5389.6893875414335,5000
2026-04-30,5314.6893875414335,5000
2026-05-06,5315.186076283156,5000
2026-05-07,5240.186076283156,5000
2026-05-13,5243.959661188816,5000
2026-05-14,5393.959661188816,5000
2026-05-20,5359.515216744372,5000
2026-05-21,5509.515216744372,5000
2026-05-27,5434.515216744372,5000
2026-05-28,5584.515216744372,5000
2026-06-03,5509.515216744372,5000
2026-06-04,5659.515216744372,5000
2026-06-10,5129.910714285715,5000
2026-06-11,5279.910714285715,5000
2026-06-17,5204.910714285715,5000
2026-06-18,5129.910714285715,5000
2026-06-24,5122.50728080932,5000
2026-06-25,5272.50728080932,5000
2026-07-01,5244.895340510812,5000
2026-07-02,5169.895340510812,5000
2026-07-08,5094.895340510812,5000
2026-07-09,5121.957196180915,5000
2026-07-15,5346.957196180915,5000
2026-07-16,5271.957196180915,5000
2026-07-22,5237.705227676978,5000
2026-07-23,5264.224564693553,5000
2026-07-29,5189.224564693553,5000
2026-07-30,5339.224564693553,5000
2026-08-05,5333.716090117281,5000
2026-08-06,5483.716090117281,5000
2026-08-12,5508.937329055334,5000
2026-08-13,5433.937329055334,5000
2026-08-19,5456.2513786421105,5000
2026-08-20,5451.5638786421105,5000
2026-08-26,5455.4769221203715,5000
2026-08-27,5380.4769221203715,5000
2026-09-02,5438.066207834657,5000
2026-09-03,5588.066207834657,5000
