date,balance,level,cycle
2026-02-02,4975.0,5000,0
2026-02-04,5049.62,5000,0
2026-02-05,5024.38,5000,0
2026-02-09,5099.74,5000,0
2026-02-11,5176.24,5000,0
2026-02-12,5150.36,5000,0
2026-02-16,5227.61,5000,0
2026-02-18,5306.03,5000,0
2026-02-19,5359.09,5000,0
2026-02-23,5439.47,5000,0
2026-02-25,5521.07,5000,0
2026-02-26,4975.0,5000,1
2026-03-02,4950.12,5000,1
2026-03-04,4925.37,5000,1
2026-03-05,4900.75,5000,1
2026-03-09,4876.24,5000,1
2026-03-11,4949.39,5000,1
2026-03-12,4998.88,5000,1
2026-03-16,4973.89,5000,1
2026-03-18,4949.02,5000,1
2026-03-19,4924.27,5000,1
2026-03-23,4998.14,5000,1
2026-03-25,5073.11,5000,1
2026-03-26,5047.74,5000,1
2026-03-30,5022.5,5000,1
2026-04-01,4997.39,5000,1
2026-04-02,5047.37,5000,1
2026-04-06,5123.08,5000,1
2026-04-08,5199.92,5000,1
2026-04-09,5173.92,5000,1
2026-04-13,5251.53,5000,1
2026-04-15,5225.27,5000,1
2026-04-16,5277.53,5000,1
2026-04-20,5251.14,5000,1
2026-04-22,5224.88,5000,1
2026-04-23,5277.13,5000,1
2026-04-27,5356.29,5000,1
2026-04-29,5329.51,5000,1
2026-04-30,5302.86,5000,1
2026-05-04,5276.35,5000,1
2026-05-06,5355.49,5000,1
2026-05-07,5328.71,5000,1
2026-05-11,5408.64,5000,1
2026-05-13,5489.77,5000,1
2026-05-14,5544.67,5000,1
2026-05-18,4975.0,5000,2
2026-05-20,4950.12,5000,2
2026-05-21,4999.63,5000,2
2026-05-25,5074.62,5000,2
2026-05-27,5049.25,5000,2
2026-05-28,5099.74,5000,2
2026-06-01,5074.24,5000,2
2026-06-03,5048.87,5000,2
2026-06-04,5099.36,5000,2
2026-06-08,5073.86,5000,2
2026-06-10,5149.97,5000,2
2026-06-11,5201.47,5000,2
2026-06-15,5175.46,5000,2
2026-06-17,5149.58,5000,2
2026-06-18,5123.84,5000,2
2026-06-22,5200.69,5000,2
2026-06-24,5174.69,5000,2
2026-06-25,5226.44,5000,2
2026-06-29,5200.31,5000,2
2026-07-01,5174.3,5000,2
2026-07-02,5148.43,5000,2
2026-07-06,5225.66,5000,2
