date,balance,level,cycle
2027-02-24,27553.13,25000,9
2027-02-25,27277.6,25000,9
2027-03-01,27004.83,25000,9
2027-03-03,26734.78,25000,9
2027-03-04,27269.47,25000,9
2027-03-08,28087.56,25000,9
2027-03-10,27806.68,25000,9
2027-03-11,28362.81,25000,9
2027-03-15,25750.0,25000,10
2027-03-17,25492.5,25000,10
2027-03-18,26002.35,25000,10
2027-03-22,25742.33,25000,10
2027-03-24,26514.6,25000,10
2027-03-25,26249.45,25000,10
2027-03-29,25986.96,25000,10
2027-03-31,26766.56,25000,10
2027-04-01,26498.9,25000,10
2027-04-05,26233.91,25000,10
2027-04-07,27020.93,25000,10
2027-04-08,26750.72,25000,10
2027-04-12,27553.24,25000,10
2027-04-14,28379.84,25000,10
2027-04-15,25500.0,25000,11
2027-04-19,25245.0,25000,11
2027-04-21,24992.55,25000,11
2027-04-22,25742.33,25000,11
2027-04-26,25484.9,25000,11
2027-04-28,26249.45,25000,11
2027-04-29,27036.93,25000,11
2027-05-03,26766.56,25000,11
2027-05-05,27569.56,25000,11
2027-05-06,28396.65,25000,11
2027-05-10,61200.0,60000,12
2027-05-12,63036.0,60000,12
2027-05-13,64927.08,60000,12
2027-05-17,64277.81,60000,12
2027-05-19,63635.03,60000,12
2027-05-20,62998.68,60000,12
2027-05-24,62368.69,60000,12
2027-05-26,61745.01,60000,12
2027-05-27,63597.36,60000,12
2027-05-31,64869.3,60000,12
2027-06-02,64220.61,60000,12
2027-06-03,63578.41,60000,12
2027-06-07,62942.62,60000,12
2027-06-09,64830.9,60000,12
2027-06-10,66775.83,60000,12
2027-06-14,66108.07,60000,12
2027-06-16,65446.99,60000,12
2027-06-17,64792.52,60000,12
2027-06-21,66088.37,60000,12
2027-06-23,68071.02,60000,12
2027-06-24,61800.0,60000,13
2027-06-28,61182.0,60000,13
2027-06-30,63017.46,60000,13
2027-07-01,62387.29,60000,13
2027-07-05,63635.03,60000,13
2027-07-07,62998.68,60000,13
2027-07-08,62368.69,60000,13
2027-07-12,63616.07,60000,13
2027-07-14,65524.55,60000,13
2027-07-15,64869.3,60000,13
2027-07-19,64220.61,60000,13
2027-07-21,63578.41,60000,13
2027-07-22,65485.76,60000,13
2027-07-26,64830.9,60000,13
2027-07-28,66775.83,60000,13
2027-07-29,68779.1,60000,13
2027-08-02,61200.0,60000,14
2027-08-04,60588.0,60000,14
2027-08-05,59982.12,60000,14
2027-08-09,61181.76,60000,14
2027-08-11,63017.22,60000,14
2027-08-12,62387.04,60000,14
2027-08-16,63634.78,60000,14
2027-08-18,62998.44,60000,14
2027-08-19,62368.45,60000,14
2027-08-23,63615.82,60000,14
2027-08-25,62979.66,60000,14
2027-08-26,64869.05,60000,14
2027-08-30,66166.43,60000,14
2027-09-01,65504.77,60000,14
2027-09-02,64849.72,60000,14
2027-09-06,64201.22,60000,14
2027-09-08,66127.26,60000,14
2027-09-09,65465.99,60000,14
2027-09-13,66775.31,60000,14
2027-09-15,66107.56,60000,14
2027-09-16,65446.48,60000,14
2027-09-20,64792.01,60000,14
2027-09-22,66735.78,60000,14
2027-09-23,66068.42,60000,14
2027-09-27,67389.79,60000,14
2027-09-29,69411.48,60000,14
2027-09-30,154500.0,150000,15
2027-10-04,152955.0,150000,15
2027-10-06,151425.45,150000,15
2027-10-07,149911.2,150000,15
2027-10-11,152909.42,150000,15
2027-10-13,157496.7,150000,15
2027-10-14,155921.73,150000,15
2027-10-18,159040.17,150000,15
2027-10-20,163811.37,150000,15
2027-10-21,162173.26,150000,15
2027-10-25,165416.73,150000,15
2027-10-27,163762.56,150000,15
2027-10-28,168675.44,150000,15
2027-11-01,166988.68,150000,15
2027-11-03,165318.79,150000,15
2027-11-04,170278.36,150000,15
2027-11-08,148500.0,150000,16
2027-11-10,147015.0,150000,16
2027-11-11,151425.45,150000,16
2027-11-15,149911.2,150000,16
2027-11-17,154408.53,150000,16
2027-11-18,159040.79,150000,16
2027-11-22,162221.6,150000,16
2027-11-24,160599.39,150000,16
2027-11-25,158993.39,150000,16
2027-11-29,163763.19,150000,16
2027-12-01,162125.56,150000,16
2027-12-02,166989.33,150000,16
2027-12-06,171999.01,150000,16
2027-12-08,148500.0,150000,17
2027-12-09,152955.0,150000,17
2027-12-13,157543.65,150000,17
2027-12-15,160694.52,150000,17
2027-12-16,165515.36,150000,17
2027-12-20,170480.82,150000,17
