month,count,sum
2026-02,4,-0.29
2026-03,5,-3.46
2026-04,4,4.01
2026-05,4,-1.41
2026-06,5,-3.19
2026-07,4,2.86
2026-08,5,-1.14
2026-09,1,-1.0
